place,hotel_name,avg_price_lkr
Polonnaruwa,Polonnaruwa Mountain Inn,32970
Yala,Yala Beach Resort,52226
Dambulla,Dambulla Nature Retreat,9640
Jaffna,Jaffna Mountain Inn,22507
Nuwara Eliya,Nuwara Eliya Palm Resort,38426
Anuradhapura,Anuradhapura Palm Resort,34758
Mirissa,Mirissa Eco Lodge,10971
Kandy,Kandy Tea Resort,40284
Mirissa,Mirissa Beach Resort,23387
Galle,Galle City Hotel,37729
Yala,Yala Palm Resort,56702
Kitulgala,Kitulgala Mountain Inn,56645
Galle,Galle City Hotel,50920
Mirissa,Mirissa Nature Retreat,48347
Kitulgala,Kitulgala Tea Resort,10144
Yala,Yala Luxury Villas,37057
Arugam Bay,Arugam Bay Luxury Villas,31768
Mirissa,Mirissa Palm Resort,32073
Yala,Yala Grand Resort,34092
Polonnaruwa,Polonnaruwa Luxury Villas,16005
Arugam Bay,Arugam Bay Beach Resort,51435
Sigiriya,Sigiriya Palm Resort,49909
Ella,Ella Grand Resort,59563
Jaffna,Jaffna Luxury Villas,16252
Sigiriya,Sigiriya Beach Resort,58145
Sigiriya,Sigiriya Mountain Inn,22152
Dambulla,Dambulla Safari Lodge,58749
Galle,Galle Mountain Inn,8185
Polonnaruwa,Polonnaruwa Eco Lodge,16519
Polonnaruwa,Polonnaruwa Eco Lodge,15204
Ella,Ella Eco Lodge,8973
Yala,Yala Luxury Villas,46591
Jaffna,Jaffna Grand Resort,19419
Polonnaruwa,Polonnaruwa Grand Resort,16307
Kitulgala,Kitulgala Ocean View Hotel,15448
Nuwara Eliya,Nuwara Eliya Nature Retreat,37378
Yala,Yala Ocean View Hotel,46906
Mirissa,Mirissa Nature Retreat,41019
Dambulla,Dambulla Mountain Inn,10841
Anuradhapura,Anuradhapura Nature Retreat,50161
Ella,Ella Grand Resort,39390
Udawalawe,Udawalawe City Hotel,52964
Mirissa,Mirissa Nature Retreat,54687
Arugam Bay,Arugam Bay Beach Resort,13294
Jaffna,Jaffna Mountain Inn,17721
Nuwara Eliya,Nuwara Eliya Eco Lodge,26023
Jaffna,Jaffna City Hotel,47150
Anuradhapura,Anuradhapura Nature Retreat,41131
Kitulgala,Kitulgala Beach Resort,59976
Mirissa,Mirissa Palm Resort,50658
Sigiriya,Sigiriya City Hotel,37593
Dambulla,Dambulla City Hotel,30212
Arugam Bay,Arugam Bay City Hotel,35262
Mirissa,Mirissa Safari Lodge,35968
Jaffna,Jaffna Palm Resort,24704
Yala,Yala Eco Lodge,53011
Trincomalee,Trincomalee Beach Resort,13978
Nuwara Eliya,Nuwara Eliya Beach Resort,36303
Mirissa,Mirissa Heritage Hotel,56417
Yala,Yala Eco Lodge,44462
Kandy,Kandy Mountain Inn,44804
Jaffna,Jaffna Palm Resort,16010
Kitulgala,Kitulgala Safari Lodge,51603
Kitulgala,Kitulgala Heritage Hotel,11371
Anuradhapura,Anuradhapura Mountain Inn,28476
Yala,Yala Beach Resort,45874
Sigiriya,Sigiriya Eco Lodge,51039
Trincomalee,Trincomalee Luxury Villas,15092
Yala,Yala Ocean View Hotel,32088
Mirissa,Mirissa Tea Resort,45624
Dambulla,Dambulla City Hotel,44763
Ella,Ella Mountain Inn,51111
Polonnaruwa,Polonnaruwa Grand Resort,19823
Polonnaruwa,Polonnaruwa Heritage Hotel,57965
Anuradhapura,Anuradhapura Safari Lodge,31004
Ella,Ella Eco Lodge,17388
Udawalawe,Udawalawe Beach Resort,17297
Ella,Ella Beach Resort,56897
Sigiriya,Sigiriya City Hotel,35514
Arugam Bay,Arugam Bay Safari Lodge,18315
Yala,Yala Tea Resort,55290
Jaffna,Jaffna Mountain Inn,47074
Nuwara Eliya,Nuwara Eliya Grand Resort,18196
Bentota,Bentota Mountain Inn,11261
Nuwara Eliya,Nuwara Eliya Tea Resort,37039
Kitulgala,Kitulgala Nature Retreat,47785
Arugam Bay,Arugam Bay City Hotel,25902
Sigiriya,Sigiriya Ocean View Hotel,15459
Yala,Yala City Hotel,15267
Anuradhapura,Anuradhapura Palm Resort,52465
Trincomalee,Trincomalee Ocean View Hotel,51721
Anuradhapura,Anuradhapura Grand Resort,22451
Udawalawe,Udawalawe Mountain Inn,11590
Ella,Ella Luxury Villas,27753
Sigiriya,Sigiriya Eco Lodge,58080
Polonnaruwa,Polonnaruwa Tea Resort,29503
Mirissa,Mirissa Grand Resort,40596
Kitulgala,Kitulgala Eco Lodge,16466
Udawalawe,Udawalawe Ocean View Hotel,54115
Dambulla,Dambulla Ocean View Hotel,44616
Yala,Yala Beach Resort,34022
Kandy,Kandy City Hotel,9228
Arugam Bay,Arugam Bay Beach Resort,28516
Kitulgala,Kitulgala Mountain Inn,34504
Kitulgala,Kitulgala Tea Resort,15548
Udawalawe,Udawalawe Grand Resort,29284
Bentota,Bentota Mountain Inn,38152
Yala,Yala Beach Resort,36620
Mirissa,Mirissa Luxury Villas,36552
Udawalawe,Udawalawe Ocean View Hotel,13154
Udawalawe,Udawalawe Tea Resort,56877
Jaffna,Jaffna Luxury Villas,29827
Bentota,Bentota Beach Resort,41455
Mirissa,Mirissa Ocean View Hotel,41420
Sigiriya,Sigiriya Safari Lodge,31009
Galle,Galle Luxury Villas,14737
Galle,Galle Tea Resort,20928
Bentota,Bentota Mountain Inn,18018
Nuwara Eliya,Nuwara Eliya Eco Lodge,58649
Trincomalee,Trincomalee Nature Retreat,57443
Arugam Bay,Arugam Bay Palm Resort,44994
Jaffna,Jaffna Palm Resort,28718
Galle,Galle Nature Retreat,12475
Trincomalee,Trincomalee Nature Retreat,49378
Anuradhapura,Anuradhapura Tea Resort,46759
Kandy,Kandy Safari Lodge,41248
Nuwara Eliya,Nuwara Eliya Tea Resort,38260
Arugam Bay,Arugam Bay Grand Resort,11728
Yala,Yala Tea Resort,13028
Nuwara Eliya,Nuwara Eliya Mountain Inn,46933
Udawalawe,Udawalawe Nature Retreat,46032
Kandy,Kandy Nature Retreat,45464
Sigiriya,Sigiriya Safari Lodge,47649
Trincomalee,Trincomalee Ocean View Hotel,17886
Kandy,Kandy Nature Retreat,14783
Jaffna,Jaffna Heritage Hotel,13526
Bentota,Bentota Grand Resort,24236
Arugam Bay,Arugam Bay Nature Retreat,42345
Bentota,Bentota Safari Lodge,32435
Anuradhapura,Anuradhapura City Hotel,34789
Jaffna,Jaffna Palm Resort,47183
Kandy,Kandy Palm Resort,50421
Jaffna,Jaffna Beach Resort,29606
Mirissa,Mirissa Ocean View Hotel,52458
Udawalawe,Udawalawe Tea Resort,24514
Galle,Galle Safari Lodge,13341
Galle,Galle Safari Lodge,28331
Udawalawe,Udawalawe Eco Lodge,46996
Nuwara Eliya,Nuwara Eliya Tea Resort,44629
Udawalawe,Udawalawe Palm Resort,59882
Jaffna,Jaffna Eco Lodge,51916
Nuwara Eliya,Nuwara Eliya Palm Resort,51939
Kitulgala,Kitulgala Ocean View Hotel,31712
Ella,Ella Safari Lodge,28241
Bentota,Bentota Luxury Villas,30395
Trincomalee,Trincomalee Luxury Villas,22846
Galle,Galle Eco Lodge,13057
Anuradhapura,Anuradhapura Beach Resort,41271
Kandy,Kandy Palm Resort,30070
Galle,Galle Mountain Inn,32688
Galle,Galle Eco Lodge,19851
Bentota,Bentota Heritage Hotel,36683
Kandy,Kandy City Hotel,31874
Dambulla,Dambulla Nature Retreat,48015
Anuradhapura,Anuradhapura Heritage Hotel,59367
Arugam Bay,Arugam Bay Luxury Villas,42996
Dambulla,Dambulla Tea Resort,59404
Trincomalee,Trincomalee Luxury Villas,32106
Arugam Bay,Arugam Bay Nature Retreat,58425
Anuradhapura,Anuradhapura City Hotel,40958
Kitulgala,Kitulgala Eco Lodge,21087
Galle,Galle Tea Resort,11419
Trincomalee,Trincomalee Safari Lodge,44342
Mirissa,Mirissa Heritage Hotel,41810
Mirissa,Mirissa Tea Resort,13496
Bentota,Bentota Tea Resort,37446
Galle,Galle City Hotel,14010
Dambulla,Dambulla Nature Retreat,30910
Ella,Ella City Hotel,11490
Udawalawe,Udawalawe Ocean View Hotel,32507
Dambulla,Dambulla City Hotel,13348
Yala,Yala Luxury Villas,9847
Jaffna,Jaffna Beach Resort,54838
Jaffna,Jaffna Eco Lodge,17017
Kandy,Kandy Tea Resort,38962
Galle,Galle Heritage Hotel,38743
Arugam Bay,Arugam Bay Mountain Inn,8344
Nuwara Eliya,Nuwara Eliya Grand Resort,24772
Sigiriya,Sigiriya Eco Lodge,43966
Kitulgala,Kitulgala Beach Resort,58867
Anuradhapura,Anuradhapura Luxury Villas,27736
Mirissa,Mirissa Grand Resort,23626
Kitulgala,Kitulgala Palm Resort,48816
Arugam Bay,Arugam Bay Beach Resort,15265
Trincomalee,Trincomalee Mountain Inn,43130
Ella,Ella Palm Resort,41775
Dambulla,Dambulla Heritage Hotel,17409
Anuradhapura,Anuradhapura City Hotel,8102
Yala,Yala Luxury Villas,45399
Kitulgala,Kitulgala Eco Lodge,51540
Nuwara Eliya,Nuwara Eliya Ocean View Hotel,31632
Nuwara Eliya,Nuwara Eliya Ocean View Hotel,43656
Ella,Ella City Hotel,38810
Kandy,Kandy Palm Resort,33354
Yala,Yala Tea Resort,56976
Ella,Ella Safari Lodge,59676
Nuwara Eliya,Nuwara Eliya Safari Lodge,23802
Mirissa,Mirissa Mountain Inn,56181
Jaffna,Jaffna Eco Lodge,10905
Yala,Yala Ocean View Hotel,30187
Bentota,Bentota Palm Resort,38449
Trincomalee,Trincomalee Palm Resort,19945
Galle,Galle Beach Resort,54926
Arugam Bay,Arugam Bay Grand Resort,27231
Sigiriya,Sigiriya Grand Resort,59846
Sigiriya,Sigiriya Grand Resort,28682
Anuradhapura,Anuradhapura Ocean View Hotel,34098
Trincomalee,Trincomalee Tea Resort,10399
Sigiriya,Sigiriya Tea Resort,31394
Kandy,Kandy Palm Resort,29753
Polonnaruwa,Polonnaruwa Beach Resort,32118
Kitulgala,Kitulgala City Hotel,56713
Arugam Bay,Arugam Bay City Hotel,30219
Bentota,Bentota Nature Retreat,53355
Trincomalee,Trincomalee Safari Lodge,42031
Polonnaruwa,Polonnaruwa Beach Resort,55650
Kitulgala,Kitulgala Beach Resort,36220
Bentota,Bentota Ocean View Hotel,27252
Jaffna,Jaffna Beach Resort,13247
Jaffna,Jaffna Palm Resort,27375
Anuradhapura,Anuradhapura Nature Retreat,47493
Kitulgala,Kitulgala Eco Lodge,53204
Arugam Bay,Arugam Bay Safari Lodge,37303
Kandy,Kandy Heritage Hotel,31105
Kitulgala,Kitulgala Tea Resort,49908
Kandy,Kandy Beach Resort,51986
Udawalawe,Udawalawe Safari Lodge,41625
Bentota,Bentota Grand Resort,17357
Arugam Bay,Arugam Bay Grand Resort,16272
Nuwara Eliya,Nuwara Eliya Luxury Villas,59020
Yala,Yala Safari Lodge,33090
Kandy,Kandy Mountain Inn,18055
Arugam Bay,Arugam Bay Safari Lodge,32380
Arugam Bay,Arugam Bay Beach Resort,45612
Galle,Galle Ocean View Hotel,32048
Udawalawe,Udawalawe Safari Lodge,50569
Polonnaruwa,Polonnaruwa Luxury Villas,15434
Ella,Ella Heritage Hotel,20192
Trincomalee,Trincomalee Ocean View Hotel,33361
Mirissa,Mirissa Tea Resort,58788
Polonnaruwa,Polonnaruwa Heritage Hotel,37246
Sigiriya,Sigiriya Mountain Inn,26715
Trincomalee,Trincomalee Luxury Villas,16037
Galle,Galle Beach Resort,37625
Bentota,Bentota Heritage Hotel,37170
Nuwara Eliya,Nuwara Eliya Palm Resort,28944
Yala,Yala Heritage Hotel,12255
