budget,days,interest,travel_type,transport_mode,route_category,recommended_route
114344,3,wildlife,couple,bus,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
88224,7,wildlife,family,bus,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
147530,4,cultural,couple,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
96002,7,cultural,friends,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
288494,9,luxury,couple,bike,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
50664,5,beach,friends,bike,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
239660,7,luxury,couple,bike,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
75699,6,nature,friends,bus,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
173569,6,cultural,couple,car,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
45653,1,relax,solo,car,Weekend_Getaway,Colombo -> Kandy -> Colombo
95355,4,cultural,family,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
147700,6,adventure,friends,bus,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
173443,5,nature,solo,car,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
172733,4,nature,solo,car,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
72512,6,beach,couple,van,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
142723,5,nature,couple,bike,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
59588,7,cultural,couple,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
66276,7,wildlife,friends,van,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
150035,7,cultural,family,car,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
116907,8,adventure,family,car,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
112235,5,beach,friends,car,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
64284,5,nature,friends,van,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
162937,8,family,friends,bike,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
85554,6,wildlife,couple,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
55373,5,nature,family,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
52071,5,nature,family,bus,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
83293,8,wildlife,couple,car,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
50895,3,nature,friends,bike,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
94663,8,wildlife,friends,van,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
148190,7,adventure,family,bike,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
79927,4,adventure,family,bus,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
78038,4,cultural,solo,van,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
89741,4,wildlife,solo,van,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
81847,3,cultural,solo,van,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
67851,3,family,couple,bike,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
90498,4,wildlife,friends,bike,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
98734,6,wildlife,solo,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
24755,3,relax,solo,van,Weekend_Getaway,Colombo -> Kandy -> Colombo
134603,7,nature,solo,bike,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
90999,7,cultural,friends,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
131322,4,wildlife,solo,van,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
119914,3,nature,couple,van,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
86967,3,beach,friends,bike,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
139430,4,wildlife,friends,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
21204,3,relax,couple,bike,Weekend_Getaway,Colombo -> Kandy -> Colombo
57855,4,cultural,couple,car,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
29432,2,relax,family,bike,Weekend_Getaway,Colombo -> Kandy -> Colombo
112175,3,wildlife,family,bike,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
52140,3,beach,family,bus,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
20344,1,relax,solo,bus,Weekend_Getaway,Colombo -> Kandy -> Colombo
132120,6,family,family,van,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
52021,5,nature,friends,bus,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
140643,6,nature,family,bike,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
262744,7,luxury,friends,car,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
102238,3,nature,solo,bike,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
147948,3,family,friends,bike,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
168395,8,wildlife,family,bike,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
85954,7,nature,couple,van,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
162844,3,family,solo,van,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
172025,8,nature,couple,bike,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
177475,6,family,friends,bike,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
60423,4,nature,friends,van,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
157185,3,wildlife,family,bus,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
121246,6,wildlife,couple,bike,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
170407,4,adventure,friends,bus,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
58469,5,cultural,couple,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
192933,6,luxury,couple,bike,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
24020,3,relax,solo,bike,Weekend_Getaway,Colombo -> Ella -> Colombo
161683,8,beach,couple,bike,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
133203,8,nature,family,bus,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
135149,8,nature,friends,bus,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
132435,8,family,solo,van,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
156195,8,cultural,friends,car,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
164166,3,nature,couple,bus,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
96516,6,adventure,family,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
77931,3,cultural,couple,van,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
246317,8,luxury,friends,van,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
167533,6,wildlife,family,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
178519,5,family,solo,bike,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
159058,5,wildlife,family,bike,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
280853,9,luxury,solo,van,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
36071,2,relax,family,car,Weekend_Getaway,Colombo -> Ella -> Colombo
38702,1,relax,solo,bike,Weekend_Getaway,Colombo -> Kandy -> Colombo
144635,8,adventure,couple,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
148910,6,cultural,solo,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
36147,2,relax,couple,car,Weekend_Getaway,Colombo -> Ella -> Colombo
119044,7,cultural,couple,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
144739,5,cultural,friends,bus,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
73454,6,nature,couple,van,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
81687,7,adventure,friends,car,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
63622,5,nature,family,bike,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
168590,7,cultural,solo,bus,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
132008,6,nature,friends,bus,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
111161,3,cultural,solo,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
105040,8,cultural,friends,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
138858,3,family,couple,bike,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
41547,1,relax,family,car,Weekend_Getaway,Colombo -> Ella -> Colombo
73856,5,nature,family,car,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
77328,3,adventure,friends,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
55619,5,nature,couple,car,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
125675,4,cultural,solo,van,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
159642,4,adventure,solo,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
133805,3,family,couple,car,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
51415,4,beach,couple,bus,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
150537,3,beach,friends,car,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
63096,4,nature,solo,bike,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
130319,3,beach,family,bike,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
53334,6,nature,friends,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
71768,5,nature,couple,car,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
52203,2,relax,family,bike,Weekend_Getaway,Colombo -> Kandy -> Colombo
167441,8,family,solo,car,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
168182,4,family,friends,bike,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
145751,3,adventure,friends,bike,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
222783,10,luxury,family,bus,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
107711,3,nature,solo,car,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
109745,5,cultural,family,car,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
276649,5,luxury,family,bus,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
80128,3,family,couple,bike,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
127278,4,family,solo,bus,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
80160,5,family,family,car,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
78055,4,wildlife,family,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
207744,10,luxury,couple,car,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
95743,4,cultural,friends,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
75514,4,wildlife,solo,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
110026,8,beach,solo,bus,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
39782,3,nature,friends,bus,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
318185,10,luxury,family,bike,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
50945,4,beach,friends,car,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
88133,3,cultural,family,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
53113,4,nature,couple,van,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
158646,8,family,solo,bike,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
264099,9,luxury,friends,car,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
17889,2,relax,friends,bus,Weekend_Getaway,Colombo -> Ella -> Colombo
58285,6,adventure,friends,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
102435,5,cultural,friends,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
113778,8,cultural,couple,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
142758,8,family,family,bus,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
80725,4,cultural,couple,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
115305,7,cultural,couple,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
56502,3,nature,family,van,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
48149,3,nature,family,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
45422,5,nature,solo,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
121736,7,nature,friends,bike,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
53870,4,nature,family,bike,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
53707,4,nature,family,car,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
97330,5,cultural,friends,van,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
392496,10,luxury,family,car,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
124466,8,adventure,family,car,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
66554,7,wildlife,couple,bus,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
73514,7,cultural,family,bike,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
162564,4,nature,friends,bus,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
52449,5,family,friends,bus,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
72419,4,cultural,family,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
120169,7,cultural,family,car,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
125809,6,beach,family,van,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
56694,6,cultural,couple,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
79589,7,cultural,family,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
141125,7,wildlife,couple,bus,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
40526,4,nature,friends,bike,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
168657,5,cultural,solo,bike,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
60462,4,nature,solo,bus,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
40278,6,nature,friends,car,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
114661,5,beach,solo,bike,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
184012,7,luxury,family,van,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
94005,6,adventure,couple,car,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
164043,3,cultural,friends,car,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
63466,5,wildlife,couple,bike,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
110231,8,wildlife,solo,van,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
69460,3,nature,solo,bike,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
111334,3,family,couple,bus,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
133482,8,adventure,friends,van,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
96890,6,family,solo,car,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
274259,5,luxury,family,car,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
59756,5,cultural,family,van,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
130011,4,adventure,friends,bike,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
84179,4,nature,friends,car,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
121449,6,cultural,family,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
39533,5,nature,solo,van,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
109476,6,adventure,solo,bus,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
362439,8,luxury,couple,bike,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
