starting_city,days,budget,budget_level,interest,travel_type,transport_mode,recommended_route,total_distance_km,fuel_cost_lkr,hotel_cost_lkr,food_cost_lkr,attraction_cost_lkr,daily_budget_lkr,total_estimated_cost_lkr,recommended_hotels
Colombo,2,27058,low,nature,couple,car,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,19972,9706,6948,11125,26856,53711,Heritage Palace | Northern Crown Hotel | Ella Green Stay | Galle Sea Breeze
Colombo,9,31181,low,adventure,friends,van,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,15477,35073,35559,15879,11525,103723,Hill Breeze Resort | Ella Green Stay | Blue Ocean Resort
Colombo,2,85112,medium,cultural,solo,van,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,13422,17116,6148,15824,25258,50516,Kandy Hill Resort | Hill Breeze Resort | Ella Mountain Inn
Colombo,9,164448,high,nature,solo,car,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,10309,204705,40401,17773,30188,271690,Kandy Hill Resort | Tea Garden Hotel | Ella Mountain Inn
Colombo,2,115444,medium,cultural,friends,bus,Colombo -> Badulla -> Ella -> Arugam Bay -> Colombo,410,14052,25412,9552,23688,39737,79474,Nine Arch Resort
Colombo,5,101104,medium,beach,solo,car,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,11782,37340,22260,18477,18712,93560,Lion Rock Hotel | Temple View Hotel | Ella Green Stay | Galle Sea Breeze
Colombo,3,171427,high,nature,couple,bike,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,13866,101001,14805,3302,46040,138121,Lion Rock Hotel | Kandy Hill Resort | Ella Green Stay | Southern Wave Resort
Colombo,10,91285,medium,cultural,couple,bus,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,13106,91750,37280,16982,15930,159298,Tea Garden Hotel | Ella Mountain Inn | Mirissa Beach Stay
Colombo,3,33680,low,wildlife,couple,bus,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,17476,14787,10500,14108,18847,56540,Tea Garden Hotel | Nine Arch Resort | Mirissa Beach Stay
Colombo,10,33800,low,wildlife,family,car,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,10580,45830,29380,20128,10346,103464,Hill Breeze Resort | Nine Arch Resort | Blue Ocean Resort
Colombo,5,153316,high,cultural,friends,bus,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,8922,90120,18165,3444,23142,115709,Bentota Bay Hotel | Galle Sea Breeze
Colombo,4,169327,high,adventure,friends,car,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,12774,69860,12440,19877,27635,110541,Mirissa Beach Stay | Southern Wave Resort
Colombo,4,107795,medium,beach,solo,bus,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,13206,57456,10652,13724,23370,93479,Lion Rock Hotel | Lakewood Stay
Colombo,7,182598,high,adventure,couple,van,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,16327,145607,18207,7877,27869,195085,Kandy Hill Resort | Hill Breeze Resort | Ella Green Stay
Colombo,6,55847,low,nature,friends,car,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,22248,26466,26310,13457,14747,88481,Ancient City Hotel | Northern Crown Hotel | Ella Mountain Inn | Southern Wave Resort
Colombo,8,106025,medium,cultural,solo,bus,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,27726,98040,37568,12851,21455,171637,Ancient City Hotel | Jaffna City Inn | Ella Mountain Inn | Southern Wave Resort
Colombo,2,45557,low,wildlife,friends,bus,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,10614,10574,9188,5789,18738,37476,Blue Ocean Resort | Fort View Hotel
Colombo,8,53265,low,wildlife,couple,bus,Colombo -> Ella -> Galle -> Colombo,335,11433,30288,30816,22419,11887,95099,Ella Green Stay | Galle Sea Breeze
Colombo,10,98752,medium,adventure,family,bike,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,7561,115410,42220,23788,19019,190190,Blue Ocean Resort | Southern Wave Resort
Colombo,6,97606,medium,wildlife,solo,bus,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,13413,52326,29250,21879,20432,122594,Hill Breeze Resort | Nine Arch Resort | Mirissa Beach Stay
Colombo,5,214392,high,adventure,couple,car,Colombo -> Yala -> Ella -> Galle -> Colombo,635,18596,159450,19360,5060,41954,209772,Safari Lodge | Ella Green Stay | Fort View Hotel
Colombo,5,56138,low,nature,solo,van,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,33743,30015,13990,16923,19292,96461,Ancient City Hotel | Jaffna City Inn | Nine Arch Resort | Fort View Hotel
Colombo,4,197367,high,nature,solo,bike,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,32936,83052,18484,17222,36879,147516,Ancient City Hotel | Northern Crown Hotel | Nine Arch Resort | Galle Sea Breeze
Colombo,10,300603,high,wildlife,family,bike,Colombo -> Yala -> Ella -> Galle -> Colombo,635,16036,315400,47440,16611,39309,393094,Wildlife Camp | Nine Arch Resort | Fort View Hotel
Colombo,6,255309,high,adventure,couple,bus,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,31335,105228,20760,10903,28121,168728,Heritage Palace | Northern Crown Hotel | Ella Mountain Inn | Galle Sea Breeze
Colombo,8,248755,high,beach,couple,car,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,24569,226848,35264,15624,37291,298325,Ancient City Hotel | Jaffna City Inn | Nine Arch Resort | Southern Wave Resort
Colombo,8,111116,medium,nature,family,bus,Colombo -> Ella -> Galle -> Colombo,335,11107,111928,33728,19636,22956,183646,Ella Green Stay | Southern Wave Resort
Colombo,5,123654,medium,beach,family,bike,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,13043,36185,20780,7408,16015,80073,Tea Garden Hotel | Ella Green Stay | Blue Ocean Resort
Colombo,2,36909,low,adventure,couple,bike,Colombo -> Badulla -> Ella -> Arugam Bay -> Colombo,410,9193,7410,7680,8935,17834,35667,Nine Arch Resort
Colombo,8,121644,medium,adventure,family,car,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,9527,57264,21704,13467,12579,100635,River Edge Resort | Southern Wave Resort
Colombo,2,40633,low,beach,solo,van,Colombo -> Ella -> Galle -> Colombo,335,8726,8034,5936,20480,20874,41747,Nine Arch Resort | Southern Wave Resort
Colombo,7,45384,low,wildlife,solo,van,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,10439,27594,26439,20867,13062,91436,Mirissa Beach Stay | Fort View Hotel
Colombo,3,319374,high,beach,solo,bus,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,32961,104022,14454,3345,51823,155470,Heritage Palace | Jaffna City Inn | Ella Mountain Inn | Southern Wave Resort
Colombo,2,107472,medium,adventure,solo,bike,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,10278,24412,8766,7013,26302,52604,River Edge Resort | Southern Wave Resort
Colombo,6,254183,high,wildlife,friends,bike,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,8799,206484,21030,4839,40120,240721,Sigiriya Nature Stay | Temple View Hotel
Colombo,8,83834,medium,nature,friends,bus,Colombo -> Yala -> Ella -> Galle -> Colombo,635,13719,87952,28464,13152,17858,142868,Wildlife Camp | Ella Green Stay | Galle Sea Breeze
Colombo,5,40749,low,beach,friends,bike,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,10176,31640,22550,16685,17808,89042,Lion Rock Hotel | Temple View Hotel
Colombo,5,122031,medium,beach,family,bus,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,10134,57670,21210,20035,21894,109468,Mirissa Beach Stay | Southern Wave Resort
Colombo,6,85242,medium,cultural,couple,car,Colombo -> Yala -> Ella -> Galle -> Colombo,635,12720,57504,28164,24615,20173,121036,Safari Lodge | Ella Mountain Inn | Southern Wave Resort
Colombo,6,190886,high,wildlife,family,car,Colombo -> Yala -> Ella -> Galle -> Colombo,635,13885,148242,19404,11904,31444,188666,Safari Lodge | Nine Arch Resort | Galle Sea Breeze
Colombo,10,61607,medium,beach,friends,car,Colombo -> Ella -> Galle -> Colombo,335,7649,117020,44600,16433,18628,186284,Ella Mountain Inn | Galle Sea Breeze
Colombo,9,29855,low,nature,friends,bike,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,10762,52767,24471,6971,10268,92415,Mirissa Beach Stay | Galle Sea Breeze
Colombo,3,258099,high,adventure,couple,bike,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,23977,88521,14730,16051,47761,143282,Ancient City Hotel | Northern Crown Hotel | Ella Mountain Inn | Southern Wave Resort
Colombo,6,185564,high,nature,couple,van,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,20047,198522,15060,15386,41899,251396,Heritage Palace | Jaffna City Inn | Ella Mountain Inn | Galle Sea Breeze
Colombo,6,209351,high,adventure,solo,van,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,10965,205956,19860,15930,41598,249591,Blue Ocean Resort | Southern Wave Resort
Colombo,6,45159,low,nature,solo,van,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,19207,35622,28986,11457,16244,97467,Lion Rock Hotel | Kandy Hill Resort | Ella Green Stay | Fort View Hotel
Colombo,6,161087,high,wildlife,friends,bike,Colombo -> Badulla -> Ella -> Arugam Bay -> Colombo,410,7657,207576,25614,12561,43050,258299,Nine Arch Resort
Colombo,3,27636,low,wildlife,solo,bus,Colombo -> Ella -> Galle -> Colombo,335,10336,19875,13281,19005,22724,68171,Nine Arch Resort | Fort View Hotel
Colombo,8,231215,high,adventure,solo,bike,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,14791,227040,23424,7269,34116,272927,Sigiriya Nature Stay | Lakewood Stay | Nine Arch Resort | Fort View Hotel
Colombo,10,41541,low,adventure,solo,bus,Colombo -> Badulla -> Ella -> Arugam Bay -> Colombo,410,8187,48240,41550,18862,11186,111857,Ella Green Stay
Colombo,9,125338,medium,nature,couple,bus,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,9950,109107,24399,8670,16833,151501,Lion Rock Hotel | Kandy Hill Resort
Colombo,9,45365,low,nature,couple,van,Colombo -> Yala -> Ella -> Galle -> Colombo,635,11577,51804,37539,5054,11628,104655,Safari Lodge | Nine Arch Resort | Galle Sea Breeze
Colombo,9,266484,high,cultural,family,bike,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,13839,274257,42813,6739,37659,338932,Lion Rock Hotel | Lakewood Stay | Ella Green Stay | Southern Wave Resort
Colombo,3,60336,medium,adventure,family,bus,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,18964,27951,14712,21002,29480,88441,Sigiriya Nature Stay | Temple View Hotel | Nine Arch Resort | Southern Wave Resort
Colombo,7,102176,medium,wildlife,friends,bike,Colombo -> Yala -> Ella -> Galle -> Colombo,635,13466,98861,24346,20736,22669,158683,Safari Lodge | Nine Arch Resort | Galle Sea Breeze
Colombo,9,269847,high,adventure,friends,van,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,6245,145917,44253,12878,22882,205937,Bentota Bay Hotel | Galle Sea Breeze
Colombo,9,29903,low,beach,friends,van,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,12201,48807,32265,13093,12397,111577,Sigiriya Nature Stay | Lakewood Stay
Colombo,7,304311,high,wildlife,friends,bus,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,16251,216923,18529,22232,38579,270056,Temple View Hotel | Hill Breeze Resort | Ella Mountain Inn
Colombo,8,44625,low,nature,friends,van,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,9297,28944,21832,11613,9070,72559,Kandy Hill Resort | Hill Breeze Resort | Ella Mountain Inn
Colombo,10,82946,medium,wildlife,couple,van,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,29495,76460,40660,22306,17511,175113,Ancient City Hotel | Jaffna City Inn | Ella Green Stay | Galle Sea Breeze
Colombo,9,314808,high,cultural,friends,bus,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,34612,137763,39645,11425,25505,229546,Ancient City Hotel | Northern Crown Hotel | Nine Arch Resort | Fort View Hotel
Colombo,6,219199,high,adventure,family,bike,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,18544,129162,26874,5494,29827,178960,Hill Breeze Resort | Ella Green Stay | Mirissa Beach Stay
Colombo,6,211953,high,cultural,solo,bike,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,14639,91590,16200,21870,25251,151507,Hill Breeze Resort | Nine Arch Resort | Blue Ocean Resort
Colombo,7,31367,low,beach,family,van,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,15363,42490,26355,16444,13743,96198,Hill Breeze Resort | Ella Green Stay | Blue Ocean Resort
Colombo,6,77322,medium,adventure,couple,van,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,13449,80658,23988,19394,23452,140710,Kandy Hill Resort | Tea Garden Hotel | Nine Arch Resort
Colombo,6,159739,high,cultural,solo,bike,Colombo -> Yala -> Ella -> Galle -> Colombo,635,19571,117672,20544,24161,31469,188813,Wildlife Camp | Ella Green Stay | Fort View Hotel
Colombo,8,49155,low,cultural,solo,bike,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,15212,50040,28584,21154,14529,116232,Lakewood Stay | Hill Breeze Resort | Ella Mountain Inn
Colombo,9,29142,low,wildlife,family,van,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,33285,54918,33633,23274,16311,146799,Ancient City Hotel | Northern Crown Hotel | Ella Mountain Inn | Galle Sea Breeze
Colombo,9,50470,low,nature,couple,van,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,9115,48222,42408,15733,13344,120100,Blue Ocean Resort | Fort View Hotel
Colombo,9,320952,high,adventure,family,car,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,10738,244269,38889,9736,33842,304574,Temple View Hotel | Hill Breeze Resort | Ella Green Stay
Colombo,2,119600,medium,cultural,couple,car,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,9072,15500,9890,2699,16494,32989,Bentota Bay Hotel | Galle Sea Breeze
Colombo,5,40269,low,wildlife,couple,van,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,19477,24225,24705,2092,14008,70041,Lion Rock Hotel | Temple View Hotel | Ella Green Stay | Fort View Hotel
Colombo,3,233911,high,nature,couple,car,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,17506,68388,7692,7709,33547,100642,Lion Rock Hotel | Temple View Hotel | Ella Green Stay | Fort View Hotel
Colombo,3,343952,high,nature,friends,bike,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,10422,80589,8838,16811,39971,119914,Lion Rock Hotel | Lakewood Stay
Colombo,10,122781,medium,adventure,solo,car,Colombo -> Ella -> Galle -> Colombo,335,8317,139410,29420,18065,20188,201883,Nine Arch Resort | Galle Sea Breeze
Colombo,7,212093,high,beach,solo,van,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,13524,239267,26817,14481,42697,298876,Lakewood Stay | Hill Breeze Resort | Nine Arch Resort
Colombo,8,54593,low,nature,couple,bike,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,9763,35480,34856,15065,12122,96979,Lion Rock Hotel | Kandy Hill Resort
Colombo,7,320046,high,cultural,family,van,Colombo -> Badulla -> Ella -> Arugam Bay -> Colombo,410,7847,213780,19943,5054,35528,248699,Ella Mountain Inn
Colombo,4,247691,high,nature,family,car,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,10183,106344,16928,3685,34213,136852,Bentota Bay Hotel | Fort View Hotel
Colombo,10,32092,low,beach,friends,van,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,16023,49340,40050,5764,11867,118671,Kandy Hill Resort | Tea Garden Hotel | Nine Arch Resort
Colombo,10,36823,low,wildlife,family,car,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,11678,46190,37650,13135,10940,109404,Lion Rock Hotel | Temple View Hotel
Colombo,8,59765,low,beach,solo,car,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,15247,35048,34864,13170,11988,95907,Sigiriya Nature Stay | Kandy Hill Resort | Ella Green Stay | Fort View Hotel
Colombo,3,30346,low,beach,couple,car,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,13532,13842,12708,17914,20981,62942,Hill Breeze Resort | Nine Arch Resort | Mirissa Beach Stay
Colombo,10,43562,low,cultural,friends,car,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,30715,62770,44930,19266,16361,163611,Heritage Palace | Northern Crown Hotel | Ella Mountain Inn | Fort View Hotel
Colombo,2,33993,low,beach,family,van,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,11842,13260,7686,5931,16922,33845,Hill Breeze Resort | Ella Green Stay | Mirissa Beach Stay
Colombo,4,69447,medium,wildlife,couple,bus,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,20406,41008,10692,16294,20927,83707,Sigiriya Nature Stay | Temple View Hotel | Nine Arch Resort | Southern Wave Resort
Colombo,8,246176,high,adventure,family,car,Colombo -> Badulla -> Ella -> Arugam Bay -> Colombo,410,14114,125464,25624,22254,23749,189994,Ella Green Stay
Colombo,3,137184,medium,nature,couple,bike,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,8341,30840,12363,12167,23643,70930,Bentota Bay Hotel | Galle Sea Breeze
Colombo,4,47896,low,wildlife,solo,van,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,9413,19752,12416,9742,12002,48007,River Edge Resort | Fort View Hotel
Colombo,4,342597,high,beach,solo,van,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,26922,124764,19236,20988,48566,194264,Heritage Palace | Jaffna City Inn | Ella Mountain Inn | Fort View Hotel
Colombo,9,106129,medium,cultural,family,car,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,9534,100404,39519,16808,17987,161881,Temple View Hotel | Hill Breeze Resort | Nine Arch Resort
Colombo,3,292129,high,wildlife,friends,bike,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,16939,99489,8004,16736,48511,145534,Lakewood Stay | Tea Garden Hotel | Nine Arch Resort
Colombo,9,167132,high,beach,solo,bike,Colombo -> Nuwara Eliya -> Ella -> Mirissa -> Colombo,530,18391,236277,25605,18533,33821,304392,Tea Garden Hotel | Ella Mountain Inn | Blue Ocean Resort
Colombo,9,237740,high,wildlife,couple,bus,Colombo -> Yala -> Ella -> Galle -> Colombo,635,15612,218421,34965,24246,33115,298039,Safari Lodge | Ella Green Stay | Southern Wave Resort
Colombo,3,93029,medium,nature,friends,bus,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,10067,38784,14904,6927,23714,71143,River Edge Resort | Southern Wave Resort
Colombo,7,100577,medium,adventure,couple,car,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,15252,81046,26915,6187,19340,135379,Lion Rock Hotel | Lakewood Stay | Ella Green Stay | Fort View Hotel
Colombo,7,39037,low,cultural,family,van,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,13303,34293,31437,8291,12291,86035,Lion Rock Hotel | Temple View Hotel
Colombo,6,33588,low,wildlife,solo,bus,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,12080,35676,18984,7925,13503,81016,Lakewood Stay | Tea Garden Hotel | Ella Green Stay
Colombo,2,97346,medium,cultural,couple,bike,Colombo -> Yala -> Ella -> Galle -> Colombo,635,19510,26326,8676,9667,33964,67928,Safari Lodge | Nine Arch Resort | Fort View Hotel
Colombo,7,341703,high,wildlife,friends,bike,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,32477,169631,31913,19283,36452,255163,Ancient City Hotel | Northern Crown Hotel | Ella Green Stay | Galle Sea Breeze
Colombo,2,326489,high,adventure,family,car,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,12176,63810,7334,4748,47785,95570,Blue Ocean Resort | Fort View Hotel
Colombo,10,54565,low,adventure,solo,van,Colombo -> Yala -> Ella -> Galle -> Colombo,635,21474,49310,41990,3745,11801,118014,Wildlife Camp | Ella Mountain Inn | Fort View Hotel
Colombo,7,46973,low,nature,family,car,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,10139,47187,18592,11400,12865,90058,Lakewood Stay | Tea Garden Hotel | Ella Green Stay
Colombo,9,207088,high,nature,solo,car,Colombo -> Yala -> Ella -> Galle -> Colombo,635,20443,198594,42723,21951,31929,287358,Wildlife Camp | Ella Mountain Inn | Fort View Hotel
Colombo,6,54957,low,nature,couple,bike,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,20679,22542,27282,21553,15973,95838,Ancient City Hotel | Northern Crown Hotel | Ella Green Stay | Galle Sea Breeze
Colombo,8,52300,low,wildlife,family,van,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,10985,34136,22800,19153,10998,87982,Blue Ocean Resort | Southern Wave Resort
Colombo,10,263243,high,wildlife,solo,bike,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,11234,164260,40290,10311,23334,233339,Lion Rock Hotel | Kandy Hill Resort
Colombo,7,27905,low,nature,family,van,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,13504,34601,22519,24435,13953,97671,Lakewood Stay | Hill Breeze Resort | Ella Green Stay
Colombo,4,38211,low,adventure,solo,bus,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,19655,14716,10684,12341,14369,57476,Sigiriya Nature Stay | Lakewood Stay | Nine Arch Resort | Fort View Hotel
Colombo,5,95811,medium,cultural,solo,bus,Colombo -> Ella -> Galle -> Colombo,335,10582,40095,21445,15107,18881,94407,Nine Arch Resort | Fort View Hotel
Colombo,4,70828,medium,adventure,family,bus,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,7817,51824,17052,21741,24098,96390,Bentota Bay Hotel | Fort View Hotel
Colombo,3,138986,medium,cultural,family,bike,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,12495,38637,12954,13519,26643,79930,Temple View Hotel | Hill Breeze Resort | Ella Green Stay
Colombo,6,235239,high,nature,solo,bike,Colombo -> Badulla -> Ella -> Arugam Bay -> Colombo,410,12963,190872,18930,3020,37187,223124,Ella Green Stay
Colombo,2,48733,low,nature,couple,bus,Colombo -> Yala -> Ella -> Galle -> Colombo,635,21679,10136,5264,21827,28210,56419,Wildlife Camp | Nine Arch Resort | Fort View Hotel
Colombo,3,222414,high,beach,family,bike,Colombo -> Yala -> Ella -> Galle -> Colombo,635,14124,72396,8892,2849,35105,105314,Safari Lodge | Nine Arch Resort | Southern Wave Resort
Colombo,10,39062,low,cultural,family,bike,Colombo -> Badulla -> Ella -> Arugam Bay -> Colombo,410,9370,60060,45110,8559,12011,120108,Ella Mountain Inn
Colombo,9,47768,low,adventure,solo,bus,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,9456,57654,42480,11514,13446,121018,Temple View Hotel | Tea Garden Hotel | Nine Arch Resort
Colombo,5,57376,low,beach,couple,van,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,9412,18035,24220,14088,13682,68412,Lion Rock Hotel | Lakewood Stay
Colombo,3,113665,medium,adventure,friends,bike,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,13747,41232,9039,12388,27310,81930,Temple View Hotel | Hill Breeze Resort | Nine Arch Resort
Colombo,7,53352,low,wildlife,couple,van,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,13058,38913,19082,6068,11516,80609,Lion Rock Hotel | Kandy Hill Resort
